Cluster_Number,Node_Index,Node_Latitude,Node_Longitude,Distance
0,10534,38.99559,-76.42859,0.0170372322739077
1,4209,40.984757,-72.637255,0.0
2,9024,40.9847,-72.4892,0.0
3,12233,44.76517,-67.05585,0.0
4,4000,40.902034,-72.486675,0.0
5,4208,40.984435,-72.845147,0.0
6,6576,41.26655,-72.48662,0.0
7,4206,40.983715,-72.655188,0.0
8,8976,40.8622,-72.4861,0.0
9,9045,40.9166,-72.4874,0.0
10,4211,40.986343,-73.643739,0.0
11,4207,40.984035,-73.890114,0.0
12,1993,43.656014,-70.201531,0.0
13,4202,40.982267,-73.068503,0.0
14,9222,40.9856,-73.4416,0.0
15,544,41.247998,-72.488662,0.0
16,8979,40.88286,-72.48768,0.0
17,9747,40.98612,-72.62681,0.0
18,4196,40.980513,-73.900041,0.0
19,9307,39.50932,-75.45733,0.0
20,4210,40.985726,-72.948501,0.0
21,9015,40.8967,-72.4918,0.0
22,3423,40.9817,-72.645,0.0
23,9058,40.9763,-72.7112,0.0
24,4214,40.986478,-72.436192,0.0
25,4216,40.986951,-73.902072,0.0
26,10072,40.98349,-72.07033,0.0
27,5893,42.0,-69.83,0.0
28,10114,40.85489,-72.48338,0.0
29,4934,39.631287,-73.705742,0.0
30,3433,40.8479,-72.4789,0.0
31,10117,40.88227,-72.48438,0.0
32,4172,40.974649,-72.485423,0.0
33,5926,41.0,-69.67,0.0
34,9055,40.98194,-72.63677,0.0
35,4197,40.98138,-72.469832,0.0
36,9228,40.9871,-72.7515,0.0
37,6944,41.125,-72.3115,0.0
38,8986,40.844,-72.4905,0.0
39,4188,40.977999,-72.726959,0.0
40,3431,40.842,-72.5,0.0
41,4212,40.986418,-72.727522,0.0
42,4193,40.979887,-72.452949,0.0
43,9226,40.9884,-73.3441,0.0
44,10383,38.85667,-76.30604,0.0
45,3443,40.98682,-72.05282,0.0
46,8253,40.9863,-71.9516,0.0
47,9225,40.9834,-73.2699,0.0
48,4233,40.996166,-72.434688,0.0
49,285,41.005662,-73.540306,0.0
50,7877,42.25299,-70.92557,0.0
51,277,40.978978,-73.62379,0.0
52,543,41.24783,-72.476834,0.0
53,1593,41.971816,-70.097554,0.0
54,225,41.258483,-72.480303,0.0
55,4201,40.982053,-73.085548,0.0
56,4205,40.982984,-73.120495,0.0
57,10065,40.89305,-72.31492,0.0
58,4217,40.987058,-72.024318,0.0
59,7183,41.64288,-70.17388,0.0
60,4218,40.987333,-72.051358,0.0
61,6906,41.02998,-72.53543,0.0
62,3915,40.829619,-72.484194,0.0
63,12200,43.7995,-70.0511,0.0
64,4222,40.989246,-72.828466,0.0
65,229,41.246563,-72.506431,0.0
66,9054,40.98796,-72.6169,0.0
67,4219,40.987615,-72.381144,0.0
68,9039,40.9807,-72.4051,0.0
69,10606,38.80924,-75.90232,0.0
70,280,40.994123,-73.595842,0.0
71,4213,40.986433,-72.465531,0.0
72,278,40.983365,-73.613439,0.0
73,4204,40.982495,-72.794444,0.0
74,4192,40.979449,-73.10324,0.0
75,6913,41.11157,-72.38372,0.0
76,4912,39.54283,-73.681881,0.0
77,9207,40.9809,-73.5224,0.0
78,906,41.421931,-70.7138,0.0
79,7521,41.01755,-72.06298,0.0
80,4185,40.977301,-73.051648,0.0
81,9033,40.9369,-72.4949,0.0
82,4199,40.981999,-72.999879,0.0
83,276,40.997261,-73.621283,0.0
84,6577,41.265,-72.4751,0.0
85,9056,40.98122,-72.65487,0.0
86,10112,40.87566,-72.49146,0.0
87,10113,40.87371,-72.48863,0.0
88,4215,40.986926,-72.983086,0.0
89,4198,40.981441,-72.691191,0.0
90,5287,38.079076,-74.834489,0.0
91,6954,41.045,-72.3086,0.0
92,4220,40.987675,-72.811183,0.0
93,6544,41.24903,-72.84791,0.0
94,10076,40.96778,-72.47137,0.0
95,279,40.98816,-73.603707,0.0
96,10073,40.991,-72.0453,0.0
97,4926,39.602046,-74.184694,0.0
98,4008,40.907256,-72.520892,0.0
99,4137,40.966035,-73.168869,0.0
100,2371,43.978656,-69.254174,0.0
101,4229,40.994695,-72.603561,0.0
102,4230,40.994854,-72.664008,0.0
103,3683,40.613505,-73.366613,0.0
104,2652,44.199218,-68.338197,0.0
105,6128,40.98,-71.12,0.0
106,11489,37.66041,-76.91288,0.0
107,1271,41.539825,-70.410428,0.0
108,8982,40.85034,-72.47989,0.0
109,9040,40.9926,-72.4029,0.0
110,4159,40.970765,-73.132595,0.0
111,10061,40.83756,-72.47947,0.0
112,3432,40.879724,-72.492172,0.0
113,4139,40.966126,-72.475125,0.0
114,9023,40.9798,-72.5042,0.0
115,4165,40.971795,-72.503112,0.0
116,9604,40.66738,-74.09748,0.0
117,4262,41.011909,-72.27223,0.0
118,4200,40.982026,-72.673129,0.0
119,5307,38.129963,-74.814823,0.0
120,6274,40.981667,-72.645,0.0
121,7543,41.00191,-72.4597,0.0
122,3914,40.829337,-72.511416,0.0
123,8617,40.9918,-73.8936,0.0
124,9000,40.86876,-72.49058,0.0
125,9025,40.9772,-72.4653,0.0
126,868,41.403614,-70.244484,0.0
127,4203,40.982454,-72.068263,0.0
128,3912,40.82589,-72.501546,0.0
129,9044,40.9634,-72.4874,0.0
130,517,41.239242,-72.542173,0.0
131,698,41.30622,-71.924805,0.0
132,4194,40.9801,-72.932185,0.0
133,4195,40.980319,-72.04001,0.0
134,4364,41.06453,-72.22511,0.0
135,6907,41.04527,-72.50378,0.0
136,4242,41.001009,-71.993237,0.0
137,4171,40.97379,-72.744072,0.0
138,6908,41.0534,-72.47738,0.0
139,8978,40.87938,-72.49447,0.0
140,4292,41.027746,-71.911835,0.0
141,3799,40.722435,-73.970975,0.0
142,4189,40.978688,-72.8615,0.0
143,4253,41.007409,-73.892817,0.0
144,8964,40.84545,-72.47646,0.0
145,9026,40.963,-72.4653,0.0
146,4224,40.992879,-72.034873,0.0
147,3394,40.9717,-73.0917,0.0
148,12189,43.6877,-70.1784,0.0
149,6602,41.30462,-72.34256,0.0
150,4462,41.130837,-72.304532,0.0
151,9041,40.9918,-72.4586,0.0
152,4333,41.047423,-72.506498,0.0
153,227,41.254116,-72.480158,0.0
154,827,41.377265,-70.753477,0.0
155,9036,40.9528,-72.4476,0.0
156,4275,41.020198,-72.56368,0.0
157,5968,39.5,-74.0,0.0
158,648,41.29069,-71.951291,0.0
159,4245,41.002647,-72.339802,0.0
160,4297,41.02924,-72.550187,0.0
161,2509,44.105386,-68.376203,0.0
162,4363,41.063812,-72.494196,0.0
163,6709,41.25334,-72.00054,0.0
164,4227,40.994531,-72.009164,0.0
165,9053,40.99391,-72.59727,0.0
166,10075,40.97393,-72.45441,0.0
